date,btc_mcap,eth_mcap,total_mcap,btc_dominance,eth_dominance,alt_dominance
2020-08-03,204126077224.646,41469942047.79405,340264643968.2073,0.5999038714222644,0.12187555416915079,0.2782205744085848
2020-08-04,207218525401.74573,43272376856.193855,348578412393.24603,0.5944674656673051,0.1241395775461174,0.2813929567865775
2020-08-05,206583502227.5565,43787281284.31828,349248652558.0163,0.5915083729442288,0.12537566276521125,0.28311596429055996
2020-08-06,216249264843.7021,44844619093.01642,361747981944.62445,0.5977898305920751,0.12396646652166018,0.27824370288626465
2020-08-07,217128467890.10895,44217734699.09528,363434599904.1442,0.5974347735393838,0.12166627698837067,0.28089894947224553
2020-08-08,213579066889.2504,42541561650.30221,357044620753.3933,0.5981859254414228,0.11914914601019906,0.28266492854837816
2020-08-09,216526346494.0801,43821378072.89572,365911327357.5923,0.591745404706962,0.11975955592670305,0.2884950393663349
2020-08-10,215621627427.59085,43682388559.8162,366282807306.2878,0.5886752616463563,0.11925863755676835,0.29206610079687534
2020-08-11,218920276229.41245,44298575284.6648,372044214186.1428,0.588425428704238,0.11906803975320294,0.29250653154255907
2020-08-12,210825577055.42203,42639702440.41078,357108147513.8246,0.5903689919235473,0.11940277122565536,0.29022823685079735
2020-08-13,213770877597.9049,43436076387.69582,364956100389.49554,0.5857440863976796,0.11901726355947778,0.2952386500428426
2020-08-14,217185020504.78036,47693538253.1255,375327497463.2117,0.5786547001557436,0.12707179350162123,0.29427350634263516
2020-08-15,216916952670.3025,49022330904.64755,377946041321.2264,0.5739363003036166,0.12970722152102704,0.2963564781753563
2020-08-16,219049736823.3334,48462771178.61529,382016530527.9528,0.5734038171610093,0.12686040342714747,0.29973577941184326
2020-08-17,219750735622.69547,48635333662.57019,383341082778.4741,0.5732511997668808,0.1268722186259271,0.2998765816071921
2020-08-18,226536103501.8635,48259667903.08671,393050476025.4175,0.5763537187198675,0.1227823672702177,0.3008639140099148
2020-08-19,220980135332.214,47400903599.29812,383236909196.8509,0.5766149606918649,0.1236856431668759,0.2996993961412592
2020-08-20,216660276172.5052,45642757811.590775,374377686680.2632,0.5787211254327335,0.12191634126574408,0.29936253330152246
2020-08-21,219044968220.88757,46754739209.41609,381714048045.3073,0.5738457081749534,0.12248629425309117,0.30366799757195545
2020-08-22,212896669545.7498,43434501400.18814,366179580071.6616,0.5813996222948471,0.118615301791782,0.2999850759133709
2020-08-23,215641597239.98148,44454504740.72998,378275987891.19104,0.5700641968900484,0.11751870635129257,0.31241709675865903
2020-08-24,215347356765.4613,44021875258.78832,376558604943.20526,0.5718827134436119,0.11690577424310342,0.3112115123132847
2020-08-25,217410678530.3584,45914782850.88361,383222431221.0188,0.5673224237883129,0.11981235728970893,0.31286521892197816
2020-08-26,209658632328.37,43097616381.47341,368962870941.44055,0.5682377519272005,0.11680746160584161,0.3149547864669579
2020-08-27,211778947737.22385,43337732292.52325,373597175859.7302,0.566864423559609,0.11600123098573613,0.3171343454546549
2020-08-28,208747591910.15524,42903096293.90094,366488479963.2529,0.5695884136142176,0.1170653339450199,0.3133462524407625
2020-08-29,212799723684.94672,44402928843.0099,376435661750.3027,0.5653017110427254,0.11795622294803529,0.31674206600923926
2020-08-30,212114842611.5429,44884412904.61814,379040807686.5595,0.5596095151500078,0.11841578002792365,0.3219747048220686
2020-08-31,216179629567.1804,48092923342.6494,389323037573.2256,0.5552705817634036,0.12352961089183907,0.32119980734475734
